WMO;COUNTRY;PROGRAM;LAUNCH_DATE
2902962;Japan;Argo eq. JMA;2015/12/11
2902963;Japan;Argo eq. JMA;2016/02/04
2902966;Japan;Argo eq. JMA;2016/02/29
2902970;Japan;Argo JAMSTEC;2015/12/28
2902975;Japan;Argo eq. JMA;2016/04/09
2902982;Japan;Argo eq. JMA;2016/08/15
2902985;Japan;Argo eq. JMA;2016/09/28
2902995;Japan;Argo eq. JMA;2017/12/04
2903177;Japan;Argo eq. JMA;2017/03/04
2903178;Japan;Argo eq. JMA;2017/03/04
2903179;Japan;Argo eq. JMA;2017/03/05
2903180;Japan;Argo eq. JMA;2017/03/06
2903181;Japan;Argo eq. JMA;2017/03/08
2903182;Japan;Argo eq. JMA;2017/05/05
2903183;Japan;Argo eq. JMA;2017/01/12
2903184;Japan;Argo eq. JMA;2017/02/15
2903185;Japan;Argo eq. JMA;2017/01/12
2903186;Japan;Argo eq. JMA;2017/01/12
2903187;Japan;Argo eq. JMA;2017/01/13
2903188;Japan;Argo eq. JMA;2017/03/04
2903190;Japan;Argo eq. JMA;2017/05/02
2903191;Japan;Argo eq. JMA;2018/01/16
2903197;Japan;Argo eq. JMA;2017/03/11
2903203;Japan;Argo eq. JMA;2017/08/29
2903207;Japan;Argo JAMSTEC;2017/06/25
2903214;Japan;Argo eq. JMA;2018/01/31
2903222;Japan;Argo eq. JMA;2018/09/28
2903333;Japan;Argo eq. JMA;2018/12/17
2903334;Japan;Argo eq. JMA;2018/12/19
2903341;Japan;Argo eq. JMA;2019/03/17
2903358;Japan;Argo JAMSTEC;2019/02/11
2903361;Japan;Argo eq. JMA;2019/03/13
2903385;Japan;Argo eq. JMA;2020/01/10
2903387;Japan;Argo eq. JMA;2020/01/12
2903389;Japan;Argo JAMSTEC;2019/09/12
2903392;Japan;Argo eq. JAMSTEC;2020/08/21
2903393;Japan;Argo eq. JAMSTEC;2020/08/22
2903394;Japan;Argo eq. JAMSTEC;2019/05/25
2903395;Japan;Argo eq. JAMSTEC;2019/06/02
2903401;Japan;Argo eq. JAMSTEC;2019/05/28
2903403;Japan;Argo JAMSTEC;2019/05/26
2903404;Japan;Argo JAMSTEC;2019/05/28
2903418;United States;Argo SIO;2019/06/16
2903423;United States;Argo SIO;2019/06/19
2903424;United States;Argo SIO;2019/06/19
2903426;United States;Argo SIO;2019/06/20
2903605;Japan;Argo JAMSTEC;2019/07/17
2903606;Japan;Argo eq. JAMSTEC;2019/07/17
2903607;Japan;Argo JAMSTEC;2019/07/21
2903608;Japan;Argo eq. JAMSTEC;2019/07/21
2903612;Japan;Argo JAMSTEC;2019/08/17
2903616;Japan;Argo JAMSTEC;2019/08/28
2903617;Japan;Argo JAMSTEC;2019/10/15
2903644;Japan;Argo eq. JMA;2020/12/10
2903669;Japan;Argo eq. JAMSTEC;2021/02/21
3900146;United States;Argo WHOI;2003/08/03
3901089;Germany;Argo BSH;2015/10/27
3901108;United States;Argo WHOI;2015/09/21
3901111;United States;Argo WHOI;2015/09/19
3901155;United States;Argo PMEL;2013/07/20
3901184;United States;Argo PMEL;2014/03/26
3901214;United States;Argo SIO;2015/05/06
3901215;United States;Argo SIO;2015/05/06
3901216;United States;Argo SIO;2015/05/06
3901217;United States;Argo SIO;2015/05/06
3901218;United States;Argo SIO;2015/06/27
3901219;United States;Argo WHOI;2017/04/17
3901220;United States;Argo WHOI;2015/09/14
3901226;United States;Argo WHOI;2015/09/18
3901243;United States;Argo WHOI;2017/05/10
3901246;United States;Argo SIO;2017/01/06
3901247;United States;Argo SIO;2017/01/06
3901248;United States;Argo SIO;2017/01/07
3901249;United States;Argo SIO;2017/01/07
3901250;United States;Argo SIO;2017/01/08
3901251;United States;Argo SIO;2017/01/08
3901252;United States;Argo SIO;2017/01/09
3901253;United States;Argo SIO;2017/02/14
3901260;United States;Argo eq. NAVOCEANO;2016/03/14
3901262;United States;Argo eq. NAVOCEANO;2016/03/15
3901263;United States;Argo eq. NAVOCEANO;2016/03/15
3901264;United States;Argo eq. NAVOCEANO;2016/03/15
3901268;United States;Argo SIO;2017/02/15
3901269;United States;Argo SIO;2017/02/16
3901270;United States;Argo SIO;2017/02/17
3901271;United States;Argo SIO;2017/02/18
3901272;United States;Argo SIO;2017/02/19
3901273;United States;Argo SIO;2017/09/08
3901274;United States;Argo SIO;2017/09/10
3901285;United States;Argo PMEL;2016/12/01
3901290;United States;Argo PMEL;2016/12/20
3901301;United States;Argo PMEL;2018/04/16
3901306;United States;Argo PMEL;2019/07/02
3901468;United States;Argo SIO;2017/09/19
3901473;United States;Argo SIO;2017/11/03
3901499;United Kingdom;Argo UK;2014/10/17
3901500;United Kingdom;Argo UK;2014/10/20
3901501;United Kingdom;Argo UK;2014/10/21
3901504;United Kingdom;Argo UK;2014/10/29
3901511;United Kingdom;Argo UK;2015/02/02
3901516;United Kingdom;Argo UK;2015/08/03
3901521;United Kingdom;Argo UK;2015/10/24
3901531;United Kingdom;Argo UK Bio;2016/11/29
