WMO;COUNTRY;LAUNCH_DATE;PROGRAM
3901907;Italy;2017/01/21;MOCCA-IT
3901908;Italy;2017/01/25;MOCCA-IT
3901978;Italy;2017/07/05;MOCCA-IT
3901889;Netherlands;2017/04/06;MOCCA-NETH
3901888;Netherlands;2017/02/25;MOCCA-NETH
3901882;Netherlands;2017/03/04;MOCCA-NETH
3901887;Netherlands;2017/04/13;MOCCA-NETH
3901878;Netherlands;2017/04/19;MOCCA-NETH
3901884;Netherlands;2017/04/14;MOCCA-NETH
3901880;Netherlands;2017/04/20;MOCCA-NETH
3901886;Netherlands;2017/03/24;MOCCA-NETH
3901881;Netherlands;2017/01/22;MOCCA-NETH
3901883;Netherlands;2017/01/28;MOCCA-NETH
3901879;Netherlands;2017/04/03;MOCCA-NETH
3901885;Netherlands;2016/12/19;MOCCA-NETH
3901877;Netherlands;2016/10/21;MOCCA-NETH
3901876;Netherlands;2016/10/17;MOCCA-NETH
3901850;Poland;2016/06/24;MOCCA-POL
3901851;Poland;2016/06/25;MOCCA-POL
3901910;Poland;2017/06/29;MOCCA-POL
3901911;Poland;2017/06/27;MOCCA-POL
